ID,First Name,Last Name,Username,Password,Money Available,TicketMiner Membership,Concerts Purchased
417,Adam,Bass,adambass,Fun!23,1159697.17,FALSE,2
296,Adam,Maldonado,adammaldonado,Fun!23,2484415.98,FALSE,0
11,Aladdin,Disney,aladdindisney,Fun!23,1329016.97,TRUE,0
52,Alan,Gamez,alangamez,Fun!23,1702713.65,TRUE,0
249,Alejandra,Morris,alejandramorris,Fun!23,1570979.69,TRUE,0
87,Alex,Vega,alexvega,Fun!23,1336987.47,FALSE,0
332,Alexander,Cameron,alexandercameron,Fun!23,1017102.04,FALSE,0
531,Alexander,Carter,alexandercarter,Fun!23,1799509.91,TRUE,0
232,Alexander,Kelly,alexanderkelly,Fun!23,1625607.71,FALSE,0
850,Alexander,Wilson,alexanderwilson,Fun!23,2733978.82,TRUE,0
958,Alexandra,Cook,alexandracook,Fun!23,2856865.5,TRUE,0
462,Alexandra,Fox,alexandrafox,Fun!23,2304322.42,FALSE,0
292,Alexandra,Robinson,alexandrarobinson,Fun!23,2817672.19,FALSE,0
781,Alexandra,Simpson,alexandrasimpson,Fun!23,2157205.09,FALSE,0
771,Alexis,Black,alexisblack,Fun!23,2316072.69,TRUE,0
251,Alexis,Ford,alexisford,Fun!23,1927607.8,FALSE,0
75,Alexis,Reta,alexisreta,Fun!23,2913597.39,TRUE,0
448,Alexis,Shea,alexisshea,Fun!23,1872986.92,FALSE,0
38,Ali,Nouri,alinouri,Fun!23,1790899.54,TRUE,0
384,Alicia,Jenkins,aliciajenkins,Fun!23,2367693.69,TRUE,0
